Input Sentence,Output Sentence
"लॉकवुड गार्डन के किरायेदारों का मानना ​​है कि अन्य 40 परिवार या उससे ज़्यादा बेदखली का सामना कर सकते हैं , चूँकि उन्हें पता चला है कि ओएचए पुलिस ऑकलैंड में अन्य सार्वजनिक आवास संपत्तियों की जाँच कर रही है जो आवास घोटाले में पकड़े जा सकते .","लॉकवुड__गार्डन__के किरायेदारों__का मानना ​​है कि अन्य 40 परिवार या उससे ज़्यादा बेदखली__का सामना कर__सकते__हैं , चूँकि उन्हें पता चला__है कि ओएचए__पुलिस ऑकलैंड__में अन्य सार्वजनिक आवास__संपत्तियों__की जाँच कर__रही__है जो आवास__घोटाले__में पकड़े__जा__सकते ."
"बैंड ने माउ के वॉर मेमोरियल स्टेडियम में होने वाले शो को रद्द कर दिया , जिसको कि 9,000 लोग देखने के लिए आने वाले थे और प्रशंसको से माफ़ी मांगी ।।","बैंड__ने माउ__के वॉर__मेमोरियल__स्टेडियम__में होने__वाले शो__को रद्द__कर__दिया , जिसको कि 9,000 लोग देखने__के__लिए आने__वाले__थे और प्रशंसको__से माफ़ी मांगी ।।"
"बैंड की प्रबंधन कंपनी , एचके मैनेजमेंट इनकॉरपोरेशन , ने 20 सितंबर को अपने कार्यक्र्म को रद्द करने का कोई प्रारंभिक कारण नहीं बताया , लेकिन अगले दिन तैयारी के कारणों को दोषी ठहराया ।","बैंड__की प्रबंधन__कंपनी , एचके__मैनेजमेंट__इनकॉरपोरेशन , ने 20__सितंबर__को अपने कार्यक्र्म__को रद्द__करने__का कोई प्रारंभिक कारण नहीं बताया , लेकिन अगले दिन तैयारी__के कारणों__को दोषी__ठहराया ।"
"प्रसिद्ध ग्रीक वकील साकिस केचाग्येग्लो और जॉर्ज निकोलाकोपौलोस को कोरीडल्लोस के एथेंस जेल में बंद किया गया है , क्योंकि वे रिश्वत और भ्रष्टाचार के दोषी पाए गए थे .","प्रसिद्ध ग्रीक वकील साकिस__केचाग्येग्लो और जॉर्ज__निकोलाकोपौलोस__को कोरीडल्लोस__के एथेंस__जेल__में बंद__किया__गया__है , क्योंकि वे रिश्वत और भ्रष्टाचार__के दोषी पाए__गए__थे ."
"इसके परिणामस्वरूप , ग्रीक कानूनी समुदाय के भीतर एक बड़े घोटाले को अवैध कार्यों के उजागर होने के माध्यम से उठाया गया है जो न्यायाधीशों , वकीलों , सॉलिसिटर और अधिवक्ताओं ने पिछले सालों के दौरान किए हैं .","इसके परिणामस्वरूप , ग्रीक कानूनी समुदाय__के__भीतर एक बड़े घोटाले__को अवैध कार्यों__के उजागर__होने__के माध्यम से उठाया__गया__है जो न्यायाधीशों , वकीलों , सॉलिसिटर और अधिवक्ताओं__ने पिछले सालों__के दौरान किए__हैं ."
"कुछ सप्ताह पहले , पत्रकार माकीस त्रिनताफेलोपोस द्वारा अपने लोकप्रिय टेलीविजन शो ज़ूंगला में अल्फा टीवी में प्रकाशित जानकारी के बाद , संसद के सदस्य और वकील , पेट्रोस मंतौवलोस को पदमुक्त कर दिया गया क्योंकि उनके कार्यालय के सदस्य अवैध भ्रष्टाचार और भ्रष्टाचार में लिप्त थे । तबाही के प्रभाव , अवसाद और भय नियमित साप्ताहिक संरचित पीए सत्रों के सशर्त नहीं थे ।","कुछ सप्ताह पहले , पत्रकार__माकीस__त्रिनताफेलोपोस__द्वारा अपने लोकप्रिय टेलीविजन__शो ज़ूंगला__में अल्फा__टीवी__में प्रकाशित जानकारी__के बाद , संसद__के सदस्य और वकील , पेट्रोस__मंतौवलोस__को पदमुक्त__कर__दिया__गया क्योंकि उनके कार्यालय__के सदस्य अवैध भ्रष्टाचार और भ्रष्टाचार__में लिप्त थे । तबाही__के प्रभाव , अवसाद और भय नियमित साप्ताहिक संरचित पीए सत्रों__के सशर्त नहीं थे ।"
"इतना ही नहीं , टॉप जज एवेंजेलोस कालूसिस को गिरफ़्तार कर लिया गया क्योंकि उन्हें भ्रष्टाचार और दुर्व्यहार के लिए दोषी पाया गया था .","इतना ही नहीं , टॉप जज एवेंजेलोस__कालूसिस__को गिरफ़्तार__कर__लिया__गया क्योंकि उन्हें भ्रष्टाचार और दुर्व्यहार__के__लिए दोषी पाया__गया__था ."
"गर्भपात की नैतिकता पर विचार करते समय एक महत्वपूर्ण सवाल , जीवन कब शुरू होता है पर संभावित मामलों की बारीकियों पर टिप्पणी करने को अनैतिक बताते हुए रॉबर्ट्स ने इस पर अपने विचार प्रकट करने से साफ़ - साफ़ मना कर दिया .","गर्भपात__की नैतिकता__पर विचार करते समय एक महत्वपूर्ण सवाल , जीवन कब शुरू__होता__है पर संभावित मामलों__की बारीकियों__पर टिप्पणी करने__को अनैतिक__बताते__हुए रॉबर्ट्स__ने इस__पर अपने विचार प्रकट__करने__से साफ़ - साफ़ मना कर__दिया ."
"हालांकि , उन्होंने अपने पहले के बयान को दोहराया कि रो वर्सस वेड “ भूमि का व्यवस्थित कानून ” था , जिस में उच्चतम न्यायालय के सुसंगत निर्णयों के महत्व पर जोर दिया गया था ।","हालांकि , उन्होंने अपने पहले के बयान__को दोहराया कि रो__वर्सस__वेड “ भूमि__का व्यवस्थित कानून ” था , जिस__में उच्चतम न्यायालय__के सुसंगत निर्णयों__के महत्व__पर जोर दिया__गया__था ।"
"उसने यह पुष्टि भी की है कि उसे गोपनीयता के निहित अधिकारों पर यकीन है , जिस पर कि रो निर्णय आधारित है .","उसने यह पुष्टि भी की__है कि उसे गोपनीयता__के निहित अधिकारों__पर यकीन है , जिस__पर कि रो निर्णय आधारित है ."
मारूसाइडोर पहले पायदान पर आया जबकि उससे छह नंबर पीछे रहकर नूसा दूसरे पायदान पर आया ।,मारूसाइडोर पहले पायदान__पर आया जबकि उससे छह नंबर पीछे रहकर नूसा दूसरे पायदान__पर आया ।
दोनों पक्ष मुख्य सेमीफ़ाइनल में भिड़े जहाँ नूसा 11 अंकों से विजेता बने .,दोनों पक्ष मुख्य सेमीफ़ाइनल__में भिड़े जहाँ नूसा 11 अंकों__से विजेता बने .
मारूचिडोर ने इसके बाद प्रारंभिक फाइनल में कैबुलचर को हराया ।,मारूचिडोर__ने इसके बाद प्रारंभिक फाइनल__में कैबुलचर__को हराया ।
"हेस्पेरोनिकस एलिजाबेथ , ड्रोमाओसौरिडी परिवार की एक प्रजाति है और वेलोसिरैप्टर का चचेरा भाई है ।","हेस्पेरोनिकस__एलिजाबेथ , ड्रोमाओसौरिडी__परिवार__की एक प्रजाति है और वेलोसिरैप्टर__का चचेरा भाई है ।"
"माना जाता है कि यह पूरी तरह पंख से लदे गरम खून वाले शिकारी पक्षी , वेलोसाइराप्टर जैसे पंजे के साथ दो पैरों पर सीधा चलते थे ।","माना__जाता__है कि यह पूरी तरह पंख__से लदे गरम खून__वाले शिकारी पक्षी , वेलोसाइराप्टर__जैसे पंजे__के__साथ दो पैरों__पर सीधा चलते__थे ।"
"इसका दूसरा पंजा बड़ा था , जिससे इसका नाम हेस्पेरोनीकस पड़ा , जिसका अर्थ है “ पश्चिमी पंजा ” ।","इसका दूसरा पंजा बड़ा था , जिससे इसका नाम हेस्पेरोनीकस पड़ा , जिसका अर्थ है “ पश्चिमी पंजा ” ।"
"तेज़ बर्फबारी के अलावा , मौसम की ख़राब स्थिति बचाव के प्रयासों में बाधा बन रही है ।","तेज़ बर्फबारी__के__अलावा , मौसम__की ख़राब स्थिति बचाव__के प्रयासों__में बाधा बन__रही__है ।"
पिटमैन ने सुझाव दिया कि अगले सप्ताह कुछ समय तक स्थिति में सुधार नहीं होगा .,पिटमैन__ने सुझाव दिया कि अगले सप्ताह कुछ समय__तक स्थिति__में सुधार नहीं होगा .
"पिटमैन के अनुसार , पैक बर्फ की मात्रा और मोटाई पिछले 15 वर्षों में सीलर्स के लिए सबसे ख़राब है .","पिटमैन__के__अनुसार , पैक__बर्फ__की मात्रा और मोटाई पिछले 15 वर्षों__में सीलर्स__के__लिए सबसे ख़राब है ."
"जेफ वीस और नौ पीड़ितों में से तीन का अंतिम संस्कार करते समय , आज लेक समुदाय में ये खबर फैल गई कि एक अन्य छात्र को 21 मार्च की स्कूल में गोलीबारी के सिलसिले में गिरफ्तार किया गया है ।","जेफ__वीस और नौ पीड़ितों__में__से तीन का अंतिम संस्कार करते__समय , आज लेक__समुदाय__में ये खबर फैल__गई कि एक अन्य छात्र__को 21 मार्च__की स्कूल__में गोलीबारी__के सिलसिले__में गिरफ्तार__किया__गया__है ।"
अधिकारियों ने आज की गिरफ्तारी की पुष्टि करने से परे थोडा आधिकारिक तौर पर कहा .,अधिकारियों__ने आज__की गिरफ्तारी__की पुष्टि करने__से__परे थोडा आधिकारिक तौर__पर कहा .
"हालाँकि , जाँच के बारे में जानकारी रखने वाले एक सूत्र ने स्टार - ट्रिब्यून को बताया कि ये रेड लेक ट्राइबल के अध्यक्ष फ़्लॉयड जर्सडैन के 16 वर्षीय बेटे लुई जर्सडैन थे .","हालाँकि , जाँच__के__बारे__में जानकारी रखने__वाले एक सूत्र__ने स्टार__- ट्रिब्यून__को बताया कि ये रेड लेक__ट्राइबल__के अध्यक्ष फ़्लॉयड__जर्सडैन__के 16 वर्षीय बेटे लुई__जर्सडैन थे ."
"इस समय यह ज्ञात नहीं है कि क्या आरोप लगाया जाएगा या अधिकारियों ने उस बच्चे को क्यों पकड़ा , लेकिन संघीय अदालत में किशोर कार्यवाही शुरू हो गई है ।","इस समय यह ज्ञात नहीं है कि क्या आरोप लगाया__जाएगा या अधिकारियों__ने उस बच्चे__को क्यों पकड़ा , लेकिन संघीय अदालत__में किशोर कार्यवाही शुरू__हो__गई__है ।"
लॉडिन ने यह भी कहा कि अधिकारियों ने दूसरे चुनाव के खर्च और सुरक्षा जोखिम को बचाने के लिए न भागने का फैसला लिया है .,लॉडिन__ने यह भी कहा कि अधिकारियों__ने दूसरे चुनाव__के खर्च और सुरक्षा जोखिम__को बचाने__के__लिए न भागने__का फैसला लिया__है .
राजनीतिज्ञों ने कहा कि उन्होंने निर्णायक मत को अनावश्यक रूप से निर्धारित करने के लिए अफ़गान संविधान में काफी अस्पष्टता पाई थी .,राजनीतिज्ञों__ने कहा कि उन्होंने निर्णायक मत__को अनावश्यक रूप__से निर्धारित__करने__के__लिए अफ़गान संविधान__में काफी अस्पष्टता पाई__थी .
"यह पहले की रिपोर्टों का खंडन करता है , जिसमें कहा गया था कि निर्णायक मत को रद्द करना संविधान के ख़िलाफ़ होगा .","यह पहले की रिपोर्टों__का खंडन करता__है , जिसमें कहा__गया__था कि निर्णायक मत__को रद्द__करना संविधान__के__ख़िलाफ़ होगा ."
विमान इरकुत्स्क की ओर जा रहा था और आंतरिक सैनिकों द्वारा संचालित किया जा रहा ।,विमान इरकुत्स्क__की ओर जा__रहा__था और आंतरिक सैनिकों__द्वारा संचालित__किया__जा__रहा ।
छानबीन के लिए एक जाँच गठित की गई थी ।,छानबीन__के__लिए एक जाँच गठित__की__गई__थी ।
Il-76. 1970 के दशक से ही रूसी और सोवियत सेनाओं का मुख्य घटक रहा है . पिछले ही महीने रूस में इसकी एक गंभीर दुर्घटना देखी गई थी .,Il-76. 1970__के दशक__से ही रूसी और सोवियत__सेनाओं__का मुख्य घटक रहा__है . पिछले ही महीने रूस__में इसकी एक गंभीर दुर्घटना देखी__गई__थी .
बिना किसी क्षति के 7 अक्टूबर को इंजन टेकऑफ़ के दौरान अलग हो गया . रूस ने उस दुर्घटना के बाद Il -76s को कुछ समय में ही ज़मीन पर उतार दिया .,बिना किसी क्षति__के 7__अक्टूबर__को इंजन टेकऑफ़__के दौरान अलग__हो__गया . रूस__ने उस दुर्घटना__के बाद Il__-76s__को कुछ समय__में ही ज़मीन__पर उतार__दिया .
"फेयरबैंक्स , अलास्का के दक्षिण में हजारों बैरल कच्चे तेल के रिसाव के बाद ट्रांस - अलास्का पाइपलाइन सिस्टम के 800 मील के हिस्से को बंद कर दिया गया ।","फेयरबैंक्स , अलास्का__के दक्षिण__में हजारों बैरल कच्चे तेल__के रिसाव__के बाद ट्रांस__- अलास्का__पाइपलाइन__सिस्टम__के 800 मील__के हिस्से__को बंद__कर__दिया__गया ।"
एक नियमित फायर - सिस्टम परीक्षण के चलते बिजली चले जाने से रिलीफ वाल्व खुल गए और ग्रीली पंप स्टेशन 9 के पास कच्चा तेल बह गया ।,एक नियमित फायर__- सिस्टम__परीक्षण__के__चलते बिजली चले__जाने से रिलीफ वाल्व खुल__गए और ग्रीली__पंप__स्टेशन 9__के पास कच्चा तेल बह__गया ।
"वाल्व छिद्र से प्रणाली का दबाव कम हुआ और तेल एक पैड से एक टैंक में गया जिसमें 55,000 बैरल ( 23 लाख गैलन ) आ सकता है ।","वाल्व__छिद्र__से प्रणाली__का दबाव कम__हुआ और तेल एक पैड__से एक टैंक__में गया जिसमें 55,000 बैरल ( 23 लाख गैलन ) आ__सकता__है ।"
बुधवार की दोपहर तक टैंक के अंदर थर्मल एक्सपेंशन से शायद अभी भी टैंक वेंट लीक हो रहे थे ।,बुधवार__की दोपहर__तक टैंक__के अंदर थर्मल एक्सपेंशन__से शायद अभी भी टैंक__वेंट लीक__हो__रहे__थे ।
"टंकियों के नीचे दूसरा कंटेनमेंट एरिया 104,500 बैरल की क्षमता रखता है , जिसे अभी तक पूर्ण क्षमता के साथ भरा नहीं गया है .","टंकियों__के नीचे दूसरा कंटेनमेंट__एरिया 104,500 बैरल__की क्षमता रखता__है , जिसे अभी__तक पूर्ण क्षमता__के साथ भरा नहीं गया__है ."
टेलीविज़न पर किए गए लाइव कमेंट्स में पहली बार सीनियर इरानियन सूत्रों ने यह माना था कि प्रतिबंधों को कोई प्रभाव हुआ था .,टेलीविज़न__पर किए__गए लाइव कमेंट्स__में पहली बार सीनियर इरानियन__सूत्रों__ने यह माना__था कि प्रतिबंधों__को कोई प्रभाव हुआ__था .
"इनमें वित्तीय प्रतिबंध और कच्चे तेल के निर्यात पर यूरोपीय संघ द्वारा प्रतिबंध शामिल है , जिससे ईरानी अर्थव्यवस्था को उनकी विदेशी आय का 80 % प्राप्त होता है ।","इनमें वित्तीय प्रतिबंध और कच्चे तेल__के निर्यात__पर यूरोपीय__संघ__द्वारा प्रतिबंध शामिल है , जिससे ईरानी अर्थव्यवस्था__को उनकी विदेशी आय__का 80 % प्राप्त__होता__है ।"
"अपनी सबसे हालिया मासिक रिपोर्ट में , ओपेक ने कहा कि कच्चे तेल का निर्यात दो दशकों के लिए 2.8 मिलियन बैरल प्रति दिन के निचले स्तर तक गिर गया था .","अपनी सबसे हालिया मासिक रिपोर्ट__में , ओपेक__ने कहा कि कच्चे__तेल__का निर्यात दो दशकों__के__लिए 2.8 मिलियन बैरल प्रति दिन__के निचले स्तर__तक गिर__गया__था ."
देश के सुप्रीम लीडर अयातुल्ला अली ख़ामेनी ने तेल पर निर्भरता को एक ऐसे “ जाल ” के रूप में परिभाषित किया है जो 1979 में इरान के इस्लामिक क्रांति के पहले से बुना जा रहा और जिससे देश को अपने आपको आज़ाद करना चाहिए .,देश__के सुप्रीम__लीडर अयातुल्ला__अली__ख़ामेनी__ने तेल__पर निर्भरता__को एक ऐसे “ जाल ” के रूप में परिभाषित__किया__है जो 1979__में इरान__के इस्लामिक क्रांति__के पहले से बुना__जा__रहा और जिससे देश__को अपने__आपको आज़ाद__करना__चाहिए .
"सुबह लगभग 5 बजे ( पूर्वी समय ) जब कैप्सूल धरती को छूकर वायुमंडल में प्रवेश करता है , तब उत्तरी कैलिफ़ोर्निया , ऑरेगन , नेवाडा और उटाह के लोगों के लिए एक शानदार लाइट शो पेश करने की अपेक्षा होती है .","सुबह लगभग 5 बजे ( पूर्वी समय ) जब कैप्सूल धरती__को छूकर वायुमंडल__में प्रवेश करता__है , तब उत्तरी कैलिफ़ोर्निया , ऑरेगन , नेवाडा और उटाह__के लोगों__के__लिए एक शानदार लाइट__शो पेश__करने__की अपेक्षा होती__है ."
कैप्सूल बहुत हद तक आसमान में एक उल्का की तरह दिखाई देगा .,कैप्सूल बहुत हद__तक आसमान__में एक उल्का__की तरह दिखाई__देगा .
कैप्सूल एक मिनट में सैन फ़्रांसिस्को से लॉस एंजिलस तेज़ी से जाने के लिए लगभग 12.8 किमी या 8 मील प्रति सेकंड की यात्रा करेगा ।,कैप्सूल एक मिनट__में सैन__फ़्रांसिस्को__से लॉस__एंजिलस तेज़ी__से जाने__के__लिए__लगभग 12.8 किमी या 8 मील प्रति सेकंड__की यात्रा करेगा ।
"स्टारडस्ट धरती की ओर इतनी तेज़ी से वापस लौटेगा कि अब तक के सारे रिकॉर्ड टूट जाएँगे . फ़िलहाल यह रिकॉर्ड अपोलो X के कमांड मॉड्यूल के नाम है जो मई , 1969 में सबसे तेज़ गति से धरती में वापस लौटा था .","स्टारडस्ट धरती__की ओर इतनी तेज़ी__से वापस लौटेगा कि अब__तक__के सारे रिकॉर्ड टूट__जाएँगे . फ़िलहाल यह रिकॉर्ड अपोलो__X__के कमांड__मॉड्यूल__के नाम है जो मई , 1969__में सबसे तेज़ गति__से धरती__में वापस लौटा__था ."
"“यह उत्तरी कैलिफोर्निया के पश्चिमी तट पर चलेगा और कैलिफोर्निया से केंद्रीय ओरेगन और नेवादा और इदाहो तक और यूटा में आकाश को प्रकाशित करेगा , ” टॉम डक्सबरी , स्टारडस्ट के परियोजना प्रबंधक ने कहा ।","“यह उत्तरी कैलिफोर्निया__के पश्चिमी तट__पर चलेगा और कैलिफोर्निया__से केंद्रीय ओरेगन और नेवादा और इदाहो__तक और यूटा__में आकाश__को प्रकाशित__करेगा , ” टॉम__डक्सबरी , स्टारडस्ट__के परियोजना__प्रबंधक__ने कहा ।"
"क्योटो जलवायु समझौते पर हस्ताक्षर करने के श्री रुड के निर्णय ने संयुक्त राज्य अमेरिका को अलग कर दिया है , जो अब एकमात्र विकसित राष्ट्र होगा जिसने समझौते की पुष्टि नहीं की है ।","क्योटो__जलवायु__समझौते__पर हस्ताक्षर करने__के श्री__रुड__के निर्णय__ने संयुक्त__राज्य__अमेरिका__को अलग__कर__दिया__है , जो अब एकमात्र विकसित राष्ट्र होगा जिसने समझौते__की पुष्टि नहीं की__है ।"
"ऑस्ट्रेलिया की पूर्व रूढ़िवादी सरकार ने क्योटो की पुष्टि करने से मना करते हुए कहा कि जबकि भारत और चीन जैसे देश उत्सर्जन लक्ष्य से नहीं बंधे हैं , इससे कोयले के निर्यात पर भारी निर्भरता के साथ अर्थव्यवस्था को नुकसान होगा ।","ऑस्ट्रेलिया__की पूर्व रूढ़िवादी__सरकार__ने क्योटो__की पुष्टि करने__से मना करते__हुए कहा कि जबकि भारत और चीन__जैसे देश उत्सर्जन लक्ष्य__से नहीं बंधे__हैं , इससे कोयले__के निर्यात__पर भारी निर्भरता__के साथ अर्थव्यवस्था__को नुकसान होगा ।"
यह eBay के इतिहास में सबसे बड़ा अधिग्रहण है .,यह eBay__के इतिहास__में सबसे बड़ा अधिग्रहण है .
"चीन , पूर्वी यूरोप और ब्राज़ील जैसे क्षेत्रों में जहाँ स्काइप की पकड़ मज़बूत है , कंपनी को अपने लाभ स्रोतों में विभिन्नता लाने और लोकप्रियता पाने की उम्मीद है .","चीन , पूर्वी यूरोप और ब्राज़ील__जैसे क्षेत्रों__में जहाँ स्काइप__की पकड़ मज़बूत है , कंपनी__को अपने लाभ__स्रोतों__में विभिन्नता लाने और लोकप्रियता पाने__की उम्मीद है ."
वैज्ञानिकों ने एन्सेलेडस को भूगर्भीय रूप से सक्रिय और शनि के बर्फीले ई वलय के संभावित स्रोत के रूप में संदेह प्रकट किया है .,वैज्ञानिकों__ने एन्सेलेडस__को भूगर्भीय रूप__से सक्रिय और शनि__के बर्फीले ई__वलय__के संभावित स्रोत__के__रूप__में संदेह प्रकट__किया__है .
"एन्सेलेडस सौर प्रणाली की सबसे अधिक परावर्तक वस्तु है , जो अपने ऊपर पड़ने वाली सूर्य की लगभग 90 प्रतिशत किरणों को परावर्तित करती है ।","एन्सेलेडस सौर__प्रणाली__की सबसे अधिक परावर्तक वस्तु है , जो अपने ऊपर पड़ने__वाली सूर्य__की लगभग 90 प्रतिशत किरणों__को परावर्तित__करती__है ।"
गेम के प्रकाशक कोनामी ने आज एक जापानी अख़बार को बताया कि वे सिक्स डेज़ इन फ़ालूजा जारी नहीं करेंगे .,गेम__के प्रकाशक कोनामी__ने आज एक जापानी अख़बार__को बताया कि वे सिक्स डेज़__इन फ़ालूजा जारी नहीं करेंगे .
"यह खेल फालुजा की दूसरी लड़ाई पर आधारित है , जो अमेरिका और इराक की सेनाओं के बीच एक शातिर लड़ाई है ।","यह खेल फालुजा__की दूसरी लड़ाई__पर आधारित है , जो अमेरिका और इराक__की सेनाओं__के__बीच एक शातिर लड़ाई है ।"
"एसीएमए ने यह भी पाया कि वीडियो इंटरनेट पर स्ट्रीम होने के बावजूद , बिग ब्रदर ने ऑनलाइन कंटेंट सेंसरशिप कानूनों का उल्लंघन नहीं किया था क्योंकि मीडिया बिग ब्रदर की वेबसाइट पर स्टोर नहीं किया गया था .","एसीएमए__ने यह भी पाया कि वीडियो इंटरनेट__पर स्ट्रीम__होने__के बावजूद , बिग__ब्रदर__ने ऑनलाइन कंटेंट__सेंसरशिप__कानूनों__का उल्लंघन नहीं किया__था क्योंकि मीडिया बिग__ब्रदर__की वेबसाइट__पर स्टोर नहीं किया__गया__था ."
"प्रसारण सेवा अधिनियम इंटरनेट कंटेंट के लिए नियंत्रण प्रदान करता है , हालाँकि इसे इंटरनेट कंटेंट माना जाता है , लेकिन इसे सर्वर पर भौतिक रूप से रहना चाहिए .","प्रसारण__सेवा__अधिनियम इंटरनेट__कंटेंट__के__लिए नियंत्रण प्रदान__करता__है , हालाँकि इसे इंटरनेट कंटेंट माना__जाता__है , लेकिन इसे सर्वर__पर भौतिक रूप__से रहना__चाहिए ."
केन्या के नैरोबी स्थित यूनाइटेड स्टेट्स के दूतावास ने चेतावनी जारी की है कि “ सोमालिया के अतिवादी ” केन्या और इथियोपिया में आत्मघाती बम हमलों की योजना बना रहे हैं .,केन्या__के नैरोबी स्थित यूनाइटेड__स्टेट्स__के दूतावास__ने चेतावनी जारी__की__है कि “ सोमालिया__के अतिवादी ” केन्या और इथियोपिया__में आत्मघाती बम__हमलों__की योजना बना__रहे__हैं .
अमेरिका का कहना है कि उसे एक अज्ञात स्रोत से जानकारी मिली है जो विशेष रूप से कहता है कि आत्मघाती हमलावरों के उपयोग से इथियोपिया और केन्या में “ प्रमुख स्थलों ” को उड़ा दिया जायेगा ।,अमेरिका__का कहना है कि उसे एक अज्ञात स्रोत__से जानकारी मिली__है जो विशेष रूप__से कहता__है कि आत्मघाती हमलावरों__के उपयोग__से इथियोपिया और केन्या__में “ प्रमुख स्थलों ” को उड़ा__दिया__जायेगा ।
"द डेली शो और द कोलबर्ट रिपोर्ट से बहुत पहले , जब वे 1988 में UW में छात्र थे , तो हेक और जॉनसन ने एक प्रकाशन की कल्पना की , जो समाचार और समाचार रिपोर्टिंग की पैरोडी करेगा - .","द__डेली__शो और द__कोलबर्ट__रिपोर्ट__से बहुत पहले , जब वे 1988__में UW__में छात्र थे , तो हेक और जॉनसन__ने एक प्रकाशन__की कल्पना की , जो समाचार और समाचार रिपोर्टिंग__की पैरोडी करेगा - ."
"अपनी स्थापना के बाद से , द अनियन प्रिंट संस्करण के साथ एक सत्य पैरोडी साम्राज्य बन गया है , उनका एक वेबसाइट जिससे अक्टूबर के महीने में 5,000,000 अद्वितीय आगंतुक आकर्षित हुए , व्यक्तिगत विज्ञापन हैं , 24 घंटे का समाचार नेटवर्क है , पॉडकास्ट हैं , और हाल ही में हमारी मूर्ख दुनिया नामक विश्व एटलस भी लौंच हुआ है ।","अपनी स्थापना__के बाद से , द__अनियन प्रिंट__संस्करण__के साथ एक सत्य पैरोडी__साम्राज्य बन__गया__है , उनका एक वेबसाइट जिससे अक्टूबर__के महीने__में 5,000,000 अद्वितीय आगंतुक आकर्षित__हुए , व्यक्तिगत विज्ञापन हैं , 24 घंटे__का समाचार__नेटवर्क है , पॉडकास्ट हैं , और हाल ही में हमारी मूर्ख दुनिया नामक विश्व__एटलस भी लौंच__हुआ__है ।"
"अल गोर और जनरल टॉमी फ्रैंक्स ने फटाफट बोलकर , अपनी पसंदीदा सुर्खियों को चुरा लिया ( गोर ने बताया कि जब 2000 के इलेक्टोरल कॉलेज की हार के बाद , वह टिप्पर के साथ अपनी ज़िंदगी के सबसे अच्छे पल बिता रहे थे , तब द अनियन ने उसकी रिपोर्ट की ) .","अल__गोर और जनरल__टॉमी__फ्रैंक्स__ने फटाफट बोलकर , अपनी पसंदीदा सुर्खियों__को चुरा__लिया ( गोर__ने बताया कि जब 2000__के इलेक्टोरल__कॉलेज__की हार__के बाद , वह टिप्पर__के साथ अपनी ज़िंदगी__के सबसे अच्छे पल बिता__रहे__थे , तब द__अनियन__ने उसकी रिपोर्ट की ) ."
उनके कई लेखक जॉन स्टीवर्ट और स्टीफ़न कोलबर्ट के समाचार पैरोडी शो पर बहुत बड़ा प्रभाव डालते हैं .,उनके कई लेखक जॉन__स्टीवर्ट और स्टीफ़न__कोलबर्ट__के समाचार पैरोडी__शो__पर बहुत बड़ा प्रभाव डालते__हैं .
आर्टिस्टिक इवेंट ( कलात्मक कार्यक्रम ) भी बुखारेस्ट सिटी हॉल के कैंपेन का एक हिस्सा है जो रोमानिया की राजधानी की एक क्रिएटिव और रंगीन छवि को फिर से दिखाने की कोशिश है .,आर्टिस्टिक इवेंट ( कलात्मक कार्यक्रम ) भी बुखारेस्ट__सिटी__हॉल__के कैंपेन__का एक हिस्सा है जो रोमानिया__की राजधानी__की एक क्रिएटिव और रंगीन छवि__को फिर से दिखाने__की कोशिश है .
